L,mc,T,Jhash,observable,parameter,value
32,6,0.900000,352c5017,"Correlation",184,0.360369
32,6,0.900000,352c5017,"Correlation",212,0.348769
32,6,0.900000,352c5017,"Correlation",244,0.336417
32,6,0.900000,352c5017,"Correlation",281,0.325791
32,6,0.900000,352c5017,"Correlation",323,0.314799
32,6,0.900000,352c5017,"Correlation",372,0.305234
32,6,0.900000,352c5017,"Correlation",429,0.294338
32,6,0.900000,352c5017,"Correlation",494,0.286737
32,6,0.900000,352c5017,"Correlation",568,0.280794
32,6,0.900000,352c5017,"Correlation",655,0.272249
32,6,0.900000,352c5017,"Correlation",754,0.264480
32,6,0.900000,352c5017,"Correlation",868,0.256022
32,6,0.900000,352c5017,"Correlation",1000,0.251572
32,7,0.900000,352c5017,"Correlation",1,0.795962
32,7,0.900000,352c5017,"Correlation",2,0.763117
32,7,0.900000,352c5017,"Correlation",3,0.730213
32,7,0.900000,352c5017,"Correlation",4,0.720296
32,7,0.900000,352c5017,"Correlation",5,0.692816
32,7,0.900000,352c5017,"Correlation",6,0.688468
32,7,0.900000,352c5017,"Correlation",7,0.667097
32,7,0.900000,352c5017,"Correlation",8,0.661621
32,7,0.900000,352c5017,"Correlation",9,0.649397
32,7,0.900000,352c5017,"Correlation",10,0.642302
32,7,0.900000,352c5017,"Correlation",12,0.626758
32,7,0.900000,352c5017,"Correlation",14,0.612008
32,7,0.900000,352c5017,"Correlation",16,0.600179
32,7,0.900000,352c5017,"Correlation",19,0.581252
32,7,0.900000,352c5017,"Correlation",22,0.566485
32,7,0.900000,352c5017,"Correlation",25,0.554504
32,7,0.900000,352c5017,"Correlation",29,0.541925
32,7,0.900000,352c5017,"Correlation",33,0.529712
32,7,0.900000,352c5017,"Correlation",39,0.515622
32,7,0.900000,352c5017,"Correlation",44,0.504551
32,7,0.900000,352c5017,"Correlation",51,0.492179
32,7,0.900000,352c5017,"Correlation",59,0.478274
32,7,0.900000,352c5017,"Correlation",68,0.466495
32,7,0.900000,352c5017,"Correlation",79,0.454334
32,7,0.900000,352c5017,"Correlation",91,0.443275
32,7,0.900000,352c5017,"Correlation",104,0.429336
32,7,0.900000,352c5017,"Correlation",120,0.415748
32,7,0.900000,352c5017,"Correlation",138,0.402323
32,7,0.900000,352c5017,"Correlation",159,0.390689
32,7,0.900000,352c5017,"Correlation",184,0.378435
32,7,0.900000,352c5017,"Correlation",212,0.366304
32,7,0.900000,352c5017,"Correlation",244,0.353405
32,7,0.900000,352c5017,"Correlation",281,0.342253
32,7,0.900000,352c5017,"Correlation",323,0.333066
32,7,0.900000,352c5017,"Correlation",372,0.322231
32,7,0.900000,352c5017,"Correlation",429,0.311407
32,7,0.900000,352c5017,"Correlation",494,0.302516
32,7,0.900000,352c5017,"Correlation",568,0.294745
32,7,0.900000,352c5017,"Correlation",655,0.287362
32,7,0.900000,352c5017,"Correlation",754,0.279120
32,7,0.900000,352c5017,"Correlation",868,0.270360
32,7,0.900000,352c5017,"Correlation",1000,0.265233
32,8,0.900000,352c5017,"Correlation",1,0.801028
32,8,0.900000,352c5017,"Correlation",2,0.772205
32,8,0.900000,352c5017,"Correlation",3,0.742565
32,8,0.900000,352c5017,"Correlation",4,0.736116
32,8,0.900000,352c5017,"Correlation",5,0.708522
32,8,0.900000,352c5017,"Correlation",6,0.706061
32,8,0.900000,352c5017,"Correlation",7,0.683210
32,8,0.900000,352c5017,"Correlation",8,0.679217
32,8,0.900000,352c5017,"Correlation",9,0.665600
32,8,0.900000,352c5017,"Correlation",10,0.658816
32,8,0.900000,352c5017,"Correlation",12,0.645052
32,8,0.900000,352c5017,"Correlation",14,0.629095
32,8,0.900000,352c5017,"Correlation",16,0.617153
32,8,0.900000,352c5017,"Correlation",19,0.598987
32,8,0.900000,352c5017,"Correlation",22,0.585879
32,8,0.900000,352c5017,"Correlation",25,0.571876
32,8,0.900000,352c5017,"Correlation",29,0.560163
32,8,0.900000,352c5017,"Correlation",33,0.547616
32,8,0.900000,352c5017,"Correlation",39,0.533380
32,8,0.900000,352c5017,"Correlation",44,0.522130
32,8,0.900000,352c5017,"Correlation",51,0.509769
32,8,0.900000,352c5017,"Correlation",59,0.494946
32,8,0.900000,352c5017,"Correlation",68,0.484323
32,8,0.900000,352c5017,"Correlation",79,0.471302
32,8,0.900000,352c5017,"Correlation",91,0.460815
32,8,0.900000,352c5017,"Correlation",104,0.444891
32,8,0.900000,352c5017,"Correlation",120,0.431359
32,8,0.900000,352c5017,"Correlation",138,0.418756
32,8,0.900000,352c5017,"Correlation",159,0.405910
32,8,0.900000,352c5017,"Correlation",184,0.394761
32,8,0.900000,352c5017,"Correlation",212,0.382318
32,8,0.900000,352c5017,"Correlation",244,0.369556
32,8,0.900000,352c5017,"Correlation",281,0.355695
32,8,0.900000,352c5017,"Correlation",323,0.346717
32,8,0.900000,352c5017,"Correlation",372,0.335266
32,8,0.900000,352c5017,"Correlation",429,0.323948
32,8,0.900000,352c5017,"Correlation",494,0.315261
32,8,0.900000,352c5017,"Correlation",568,0.306873
32,8,0.900000,352c5017,"Correlation",655,0.299808
32,8,0.900000,352c5017,"Correlation",754,0.290394
32,8,0.900000,352c5017,"Correlation",868,0.280948
32,8,0.900000,352c5017,"Correlation",1000,0.275798
32,9,0.900000,352c5017,"Correlation",1,0.805754
32,9,0.900000,352c5017,"Correlation",2,0.779399
32,9,0.900000,352c5017,"Correlation",3,0.752389
32,9,0.900000,352c5017,"Correlation",4,0.746727
32,9,0.900000,352c5017,"Correlation",5,0.719200
32,9,0.900000,352c5017,"Correlation",6,0.717032
