"mc","physicist","E","T","L"
187.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
189.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
190.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
192.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
194.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
197.0,"Sergio (replica A)",-0.5533854166666666,0.6,8
200.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
203.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
204.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
205.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
207.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
213.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
214.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
215.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
216.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
217.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
218.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
219.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
220.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
221.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
223.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
224.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
226.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
228.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
231.0,"Sergio (replica A)",-0.55859375,0.6,8
234.0,"Sergio (replica A)",-0.55859375,0.6,8
235.0,"Sergio (replica A)",-0.55859375,0.6,8
237.0,"Sergio (replica A)",-0.55859375,0.6,8
241.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
242.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
245.0,"Sergio (replica A)",-0.55859375,0.6,8
247.0,"Sergio (replica A)",-0.55859375,0.6,8
253.0,"Sergio (replica A)",-0.55859375,0.6,8
256.0,"Sergio (replica A)",-0.55859375,0.6,8
257.0,"Sergio (replica A)",-0.55859375,0.6,8
258.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
259.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
260.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
261.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
262.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
264.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
265.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
267.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
268.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
269.0,"Sergio (replica A)",-0.55859375,0.6,8
271.0,"Sergio (replica A)",-0.55859375,0.6,8
272.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
275.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
278.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
279.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
280.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
282.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
288.0,"Sergio (replica A)",-0.56640625,0.6,8
291.0,"Sergio (replica A)",-0.56640625,0.6,8
294.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
301.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
304.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
305.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
306.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
307.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
308.0,"Sergio (replica A)",-0.55859375,0.6,8
309.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
310.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
312.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
313.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
315.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
317.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
320.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
322.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
323.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
326.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
330.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
332.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
333.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
336.0,"Sergio (replica A)",-0.55859375,0.6,8
342.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
343.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
346.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
349.0,"Sergio (replica A)",-0.56640625,0.6,8
357.0,"Sergio (replica A)",-0.56640625,0.6,8
362.0,"Sergio (replica A)",-0.56640625,0.6,8
363.0,"Sergio (replica A)",-0.56640625,0.6,8
364.0,"Sergio (replica A)",-0.56640625,0.6,8
365.0,"Sergio (replica A)",-0.56640625,0.6,8
366.0,"Sergio (replica A)",-0.56640625,0.6,8
367.0,"Sergio (replica A)",-0.56640625,0.6,8
368.0,"Sergio (replica A)",-0.56640625,0.6,8
370.0,"Sergio (replica A)",-0.56640625,0.6,8
371.0,"Sergio (replica A)",-0.56640625,0.6,8
373.0,"Sergio (replica A)",-0.56640625,0.6,8
375.0,"Sergio (replica A)",-0.56640625,0.6,8
378.0,"Sergio (replica A)",-0.56640625,0.6,8
380.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
381.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
384.0,"Sergio (replica A)",-0.56640625,0.6,8
388.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
394.0,"Sergio (replica A)",-0.56640625,0.6,8
396.0,"Sergio (replica A)",-0.56640625,0.6,8
400.0,"Sergio (replica A)",-0.56640625,0.6,8
407.0,"Sergio (replica A)",-0.56640625,0.6,8
408.0,"Sergio (replica A)",-0.56640625,0.6,8
411.0,"Sergio (replica A)",-0.56640625,0.6,8
415.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
426.0,"Sergio (replica A)",-0.56640625,0.6,8
430.0,"Sergio (replica A)",-0.56640625,0.6,8
