,mc,parameter,observable,value,T,β(1-C)
144,2,705,Correlation,0.15208928399999994,0.9000000000000099,0.9421230177777675
145,2,756,Correlation,0.15054426599999993,0.9000000000000099,0.9438397044444341
146,2,811,Correlation,0.1480002520000001,0.9000000000000099,0.9466663866666561
147,2,869,Correlation,0.14534399866666656,0.9000000000000099,0.949617779259249
148,2,932,Correlation,0.14330332733333315,0.9000000000000099,0.9518851918518415
149,2,1000,Correlation,0.1406195486666664,0.9000000000000099,0.954867168148138
150,3,1,Correlation,0.7075282740000004,0.9000000000000099,0.32496858444444043
151,3,2,Correlation,0.643841392,0.9000000000000099,0.3957317866666623
152,3,3,Correlation,0.6013642186666676,0.9000000000000099,0.4429286459259201
153,3,4,Correlation,0.5797046179999996,0.9000000000000099,0.4669948688888842
154,3,5,Correlation,0.5516978073333335,0.9000000000000099,0.4981135474074017
155,3,6,Correlation,0.5392065846666665,0.9000000000000099,0.5119926837036982
156,3,7,Correlation,0.520819937333333,0.9000000000000099,0.5324222918518464
157,3,8,Correlation,0.5112136760000004,0.9000000000000099,0.543095915555549
158,3,9,Correlation,0.4987351206666673,0.9000000000000099,0.5569609770370303
159,3,10,Correlation,0.4902519786666664,0.9000000000000099,0.5663866903703645
160,3,11,Correlation,0.47954960133333424,0.9000000000000099,0.5782782207407333
161,3,12,Correlation,0.4740593893333337,0.9000000000000099,0.5843784562962895
162,3,13,Correlation,0.46510168866666746,0.9000000000000099,0.5943314570370296
163,3,14,Correlation,0.4596447180000002,0.9000000000000099,0.600394757777771
164,3,15,Correlation,0.45291021933333286,0.9000000000000099,0.6078775340740679
165,3,16,Correlation,0.44798722866666607,0.9000000000000099,0.6133475237036976
166,3,17,Correlation,0.44175224266666774,0.9000000000000099,0.6202752859259179
167,3,18,Correlation,0.4375523266666671,0.9000000000000099,0.6249418592592519
168,3,20,Correlation,0.42852058466666637,0.9000000000000099,0.6349771281481414
169,3,21,Correlation,0.42388008933333343,0.9000000000000099,0.640133234074067
170,3,23,Correlation,0.41642510133333355,0.9000000000000099,0.6484165540740667
171,3,24,Correlation,0.41325495666666695,0.9000000000000099,0.6519389370370294
172,3,26,Correlation,0.4062304006666668,0.9000000000000099,0.6597439992592519
173,3,28,Correlation,0.39994730066666695,0.9000000000000099,0.6667252214814738
174,3,30,Correlation,0.39449541600000015,0.9000000000000099,0.6727828711111036
175,3,32,Correlation,0.3894094673333333,0.9000000000000099,0.6784339251851778
176,3,35,Correlation,0.38205046733333364,0.9000000000000099,0.686610591851844
177,3,37,Correlation,0.37751922333333343,0.9000000000000099,0.6916453074073997
178,3,40,Correlation,0.3713917573333333,0.9000000000000099,0.6984536029629553
179,3,43,Correlation,0.3654291893333334,0.9000000000000099,0.7050786785185106
180,3,46,Correlation,0.3604334153333333,0.9000000000000099,0.7106295385185107
181,3,49,Correlation,0.3555842020000002,0.9000000000000099,0.7160175533333253
182,3,53,Correlation,0.3495548213333338,0.9000000000000099,0.7227168651851766
183,3,57,Correlation,0.34399205866666627,0.9000000000000099,0.7288977125925851
184,3,61,Correlation,0.3390050899999999,0.9000000000000099,0.7344387888888809
185,3,65,Correlation,0.3343275079999997,0.9000000000000099,0.7396361022222144
186,3,70,Correlation,0.3293690406666667,0.9000000000000099,0.7451455103703621
187,3,75,Correlation,0.32469792066666603,0.9000000000000099,0.7503356437036962
188,3,81,Correlation,0.3191417446666669,0.9000000000000099,0.756509172592584
189,3,86,Correlation,0.3148766059999999,0.9000000000000099,0.7612482155555473
190,3,93,Correlation,0.3097798786666668,0.9000000000000099,0.7669112459259173
191,3,100,Correlation,0.3048314813333332,0.9000000000000099,0.7724094651851767
192,3,107,Correlation,0.29985490066666665,0.9000000000000099,0.7779389992592507
193,3,114,Correlation,0.29640611866666666,0.9000000000000099,0.7817709792592507
194,3,123,Correlation,0.291340166666667,0.9000000000000099,0.7873998148148057
195,3,132,Correlation,0.28673661733333344,0.9000000000000099,0.7925148696296208
196,3,141,Correlation,0.28212165266666683,0.9000000000000099,0.7976426081481393
197,3,151,Correlation,0.27765811200000035,0.9000000000000099,0.8026020977777686
198,3,162,Correlation,0.2731701333333331,0.9000000000000099,0.8075887407407321
199,3,174,Correlation,0.26916529800000005,0.9000000000000099,0.8120385577777687
200,3,187,Correlation,0.26532999200000035,0.9000000000000099,0.8163000088888795
201,3,200,Correlation,0.2614955333333336,0.9000000000000099,0.8205605185185093
202,3,215,Correlation,0.25694828799999914,0.9000000000000099,0.8256130133333253
203,3,231,Correlation,0.25304216066666685,0.9000000000000099,0.8299531548148055
204,3,247,Correlation,0.24946826266666702,0.9000000000000099,0.833924152592583
205,3,265,Correlation,0.24521627466666673,0.9000000000000099,0.8386485837036944
206,3,284,Correlation,0.2416463306666667,0.9000000000000099,0.8426151881481387
207,3,305,Correlation,0.23746776266666678,0.9000000000000099,0.847258041481472
208,3,327,Correlation,0.2337133013333336,0.9000000000000099,0.8514296651851756
209,3,351,Correlation,0.2301494306666668,0.9000000000000099,0.8553895214814718
210,3,376,Correlation,0.22664658133333349,0.9000000000000099,0.8592815762962867
211,3,403,Correlation,0.2226785753333331,0.9000000000000099,0.8636904718518426
212,3,432,Correlation,0.21949231199999997,0.9000000000000099,0.8672307644444349
213,3,464,Correlation,0.21622643466666647,0.9000000000000099,0.8708595170370277
214,3,497,Correlation,0.21276004599999998,0.9000000000000099,0.8747110599999904
215,3,533,Correlation,0.2093868926666668,0.9000000000000099,0.8784590081481384
216,3,572,Correlation,0.20592286666666637,0.9000000000000099,0.8823079259259166
217,3,613,Correlation,0.2032042366666668,0.9000000000000099,0.8853286259259161
218,3,657,Correlation,0.19998661000000034,0.9000000000000099,0.8889037666666566
219,3,705,Correlation,0.1967553306666667,0.9000000000000099,0.8924940770370271
220,3,756,Correlation,0.19410256133333334,0.9000000000000099,0.8954415985185086
221,3,811,Correlation,0.1911342913333334,0.9000000000000099,0.8987396762962864
222,3,869,Correlation,0.18784672199999997,0.9000000000000099,0.9023925311111012
223,3,932,Correlation,0.1847381060000002,0.9000000000000099,0.9058465488888787
224,3,1000,Correlation,0.18234041533333348,0.9000000000000099,0.9085106496296195
225,4,1,Correlation,0.7495038433333321,0.9000000000000099,0.2783290629629613
226,4,2,Correlation,0.6983505619999997,0.9000000000000099,0.3351660422222189
227,4,3,Correlation,0.6592177526666667,0.9000000000000099,0.37864694148147726
228,4,4,Correlation,0.6415678319999996,0.9000000000000099,0.39825796444444056
229,4,5,Correlation,0.6124682573333328,0.9000000000000099,0.4305908251851811
230,4,6,Correlation,0.6028841680000003,0.9000000000000099,0.4412398133333281
231,4,7,Correlation,0.5823592620000004,0.9000000000000099,0.46404526444443883
232,4,8,Correlation,0.5743968260000003,0.9000000000000099,0.47289241555555
233,4,9,Correlation,0.5604313113333331,0.9000000000000099,0.48840965407406894
234,4,10,Correlation,0.5520714320000003,0.9000000000000099,0.49769840888888306
235,4,11,Correlation,0.5405403006666663,0.9000000000000099,0.5105107770370318
236,4,12,Correlation,0.5354345193333336,0.9000000000000099,0.5161838674074014
