,mc,parameter,observable,value,T,β(1-C)
38,1,81,Correlation,0.8331907106666675,0.5,0.333618578666665
39,1,86,Correlation,0.8399454333333339,0.5,0.32010913333333213
40,1,93,Correlation,0.8311976620000004,0.5,0.3376046759999991
41,1,100,Correlation,0.8434135766666657,0.5,0.31317284666666856
42,1,107,Correlation,0.8244544859999992,0.5,0.3510910280000017
43,1,114,Correlation,0.8429444399999988,0.5,0.3141111200000024
44,1,123,Correlation,0.8287561980000002,0.5,0.34248760399999956
45,1,132,Correlation,0.8442265573333321,0.5,0.31154688533333585
46,1,141,Correlation,0.8273149759999986,0.5,0.3453700480000028
47,1,151,Correlation,0.8220357040000001,0.5,0.3559285919999997
48,1,162,Correlation,0.8376176979999989,0.5,0.3247646040000023
49,1,174,Correlation,0.8365636213333333,0.5,0.32687275733333343
50,1,187,Correlation,0.8203901460000009,0.5,0.35921970799999814
51,1,200,Correlation,0.8329340219999998,0.5,0.33413195600000045
52,1,215,Correlation,0.8197714526666677,0.5,0.36045709466666453
53,1,231,Correlation,0.8227486373333341,0.5,0.3545027253333317
54,1,247,Correlation,0.8177929033333353,0.5,0.36441419333332936
55,1,265,Correlation,0.8175240566666678,0.5,0.36495188666666434
56,1,284,Correlation,0.8258807033333323,0.5,0.3482385933333354
57,1,305,Correlation,0.8159685073333318,0.5,0.36806298533333637
58,1,327,Correlation,0.8174152953333329,0.5,0.3651694093333342
59,1,351,Correlation,0.8165024759999994,0.5,0.36699504800000127
60,1,376,Correlation,0.8207761680000005,0.5,0.35844766399999894
61,1,403,Correlation,0.8125690686666655,0.5,0.3748618626666691
62,1,432,Correlation,0.820147336,0.5,0.359705328
63,1,464,Correlation,0.8166427326666666,0.5,0.3667145346666667
64,1,497,Correlation,0.8099821373333329,0.5,0.3800357253333342
65,1,533,Correlation,0.8090797453333345,0.5,0.381840509333331
66,1,572,Correlation,0.8127564486666653,0.5,0.3744871026666694
67,1,613,Correlation,0.8073002353333336,0.5,0.38539952933333277
